amenity,total_count,low_review_count,high_review_count
"65\"" HDTV with Amazon Prime Video",5,0,3
RITUALS body soap,5,0,5
Free driveway parking on premises \u2013 1 space,5,0,1
Yamaha Bluetooth sound system,5,0,5
Shared outdoor infinity rooftop saltwater pool,5,0,5
BBQ grill,5,0,3
samsung stainless steel oven,5,0,4
"55\"" HDTV with premium cable",5,0,1
LOFRA stainless steel gas stove,5,0,3
Paid parking garage off premises \u2013 EUR35 per day,5,0,2
Decorative fireplace,5,1,1
EV charger,5,0,4
Table corner guards,5,0,4
SMEG oven,5,0,3
Children\u2019s books and toys for ages 5-10 years old,5,0,4
elidor conditioner,5,0,5
Stand alone rain shower,5,0,1
Game console: Nintendo Wii,5,0,5
SMEG stainless steel gas stove,5,0,5
Wifi \u2013 20 Mbps,5,0,5
Electric stove,5,0,1
Geral gas stove,5,0,5
Kitchenette,5,0,3
"206\"" HDTV with Netflix",5,0,5
Trash compactor,5,0,0
Free dryer,5,0,1
Eletrolux stainless steel oven,5,0,4
Defy oven,5,0,5
Samsung stainless steel oven,5,0,4
sonos Bluetooth sound system,5,0,3
Pool safety fence,5,0,0
Stainless steel stove,5,0,2
Free driveway parking on premises \u2013 4 spaces,5,0,5
LOFRA stainless steel oven,5,0,3
Spa equipment,5,0,0
Private garden or backyard,5,0,3
Sound system with aux,5,0,5
Limited housekeeping \u2014 weekly,5,0,0
Ar\u00e7elik stainless steel oven,5,0,4
Private gym nearby,5,0,5
Wifi \u2013 80 Mbps,5,0,4
Dining area for 12 people,5,0,1
Free driveway parking on premises \u2013 20 spaces,4,0,3
HDTV with Apple TV,4,0,3
Candy stainless steel oven,4,0,3
Liebherr refrigerator,4,0,1
Bose sound system,4,0,2
Barbecue utensils,4,0,3
Netflix,4,0,0
London Fine Soaps shampoo,4,0,4
"42\"" TV",4,0,0
blendax,4,0,4
Organics conditioner,4,0,4
Paid washer,4,0,3
SMEG stainless steel oven,4,0,3
Sony sound system with aux,4,0,4
Denon sound system with Bluetooth and aux,4,0,4
Samsung stainless steel gas stove,4,0,4
MK conditioner,4,0,4
Ar\u00e7elik stainless steel gas stove,4,0,3
Breakfast buffet available \u2014 \u20ac16 per person per day,4,0,0
Ping pong table,4,0,2
Children\u2019s books and toys for ages 10+ years old,4,0,4
Aesop conditioner,4,0,4
Board games,4,0,4
Paid parking garage on premises,4,0,3
Marshall Bluetooth sound system,4,0,3
Nivea body soap,4,0,4
Stainless steel electric stove,4,0,1
Paid parking lot on premises \u2013 AUD10 per day,4,0,2
Paid street parking off premises \u2013 AUD5 per hour,4,0,0
Free driveway parking on premises \u2013 6 spaces,4,0,3
defy refrigerator,4,1,1
"60\"" HDTV",4,0,2
Regina Spa Therapy  shampoo,4,0,4
MABE stainless steel oven,4,0,3
Sauna,4,0,1
Shared outdoor heated saltwater pool,4,0,4
Cleaning products,4,0,1
MABE refrigerator,4,0,3
DOVE body soap,4,0,4
Teka stainless steel gas stove,4,0,4
Free carport on premises \u2013 3 spaces,4,0,4
Defy stainless steel gas stove,4,0,4
"50\"" TV with Netflix",4,0,2
Paid valet parking on premises \u2013 1 space,4,0,4
Dryer \u2013\u00a0In unit,4,0,3
Free driveway parking on premises \u2013 10 spaces,4,0,3
Host greets you,4,0,2
Fridge/Freezer refrigerator,4,0,4
iPod dock,4,0,1
whirlpool refrigerator,4,0,3
Leif body soap,4,0,4
MABE stainless steel gas stove,4,0,4
Aesop body soap,4,0,3
Brastemp gas stove,4,0,2
smeg stainless steel gas stove,4,0,2
Clothing storage: dresser,4,0,2
Treseme shampoo,4,0,4
Aro body soap,4,0,4
Wifi \u2013 125 Mbps,4,0,4
Protex body soap,4,0,4
Limited housekeeping \u2014 on request,4,0,0
Smoking parlor,4,0,0
Free parking on premises \u2013 3 spaces,4,0,3
Free parking on premises \u2013 4 spaces,4,0,3
Tresemme conditioner,4,0,3
Bose sound system with aux,4,0,3
electrolux refrigerator,4,0,3
Westinghouse stainless steel oven,4,0,3
"40\"" TV with standard cable",4,0,3
"50\"" HDTV with standard cable",4,0,4
Bosch induction stove,4,0,1
Smeg gas stove,4,0,1
Free residential garage on premises \u2013 4 spaces,4,0,3
"42\"" TV with Netflix",4,1,3
Stand alone bathtub,4,0,1
Children\u2019s books and toys for ages 0-2 years old,4,0,4
Leif conditioner,4,0,4
Complimentary continental breakfast,4,0,0
Neutro body soap,4,0,4
Private gym in building,4,0,3
Private outdoor saltwater pool,4,0,3
Yamaha sound system with Bluetooth and aux,4,0,3
Dining area for 6 people,4,0,2
Game room,4,0,0
"43\"" HDTV with Amazon Prime Video",4,0,4
London Fine Soaps body soap,4,0,4
bosch refrigerator,4,0,3
Member Mark. Sams body soap,4,0,4
 toiletries,4,0,0
Le Petit Marseillais body soap,4,0,3
TV with Apple TV,4,0,3
otel markas\u0131 body soap,4,0,2
Shared gym in building,4,0,4
Pizza oven,4,0,1
Whirlpool stainless steel gas stove,4,0,2
Fisher and Paykel refrigerator,4,0,1
"32\"" TV with premium cable",4,0,3
"65\"" HDTV with Chromecast",4,0,4
Brastemp  refrigerator,4,0,4
"43\"" HDTV with standard cable",4,0,2
BOSCH refrigerator,4,0,2
Miele oven,4,0,3
Clothing storage: closet,4,0,3
ar\u00e7elik refrigerator,4,0,3
BOSE Bluetooth sound system,4,0,3
Free dryer\u2013In unit,4,0,3
Member Mark. Sams conditioner,4,0,4
Dedicated workspace: desk and office chair,4,0,4
Central heating,4,0,2
"40\"" TV with Netflix",4,0,4
Bikes,4,0,3
Sonos sound system with Bluetooth and aux,4,0,3
"40\"" HDTV with Chromecast",4,0,4
Shared fenced garden or backyard,4,0,2
"80\"" HDTV",4,0,4
Paid parking on premises \u2013 1 space,4,0,3
"100\"" HDTV with Netflix",3,0,2
Bio body soap,3,0,2
Local conditioner,3,0,2
Wifi \u2013 8 Mbps,3,0,2
"42\"" HDTV with standard cable",3,0,2
JBL sound system with Bluetooth and aux,3,0,3
Wifi \u2013 22 Mbps,3,0,2
Boots shampoo,3,0,3
LG stainless steel oven,3,0,3
Kenmore refrigerator,3,0,3
consul stainless steel gas stove,3,0,2
Stainless steel electric stove,3,0,3
Paid parking garage on premises \u2013 1 space,3,0,2
DEFY refrigerator,3,0,3
Brastemp refrigerator,3,0,2
Dove,3,0,3
Onsite bar,3,0,0
"34\"" HDTV with Netflix",3,0,3
Paid street parking off premises \u2013 EUR8 per day,3,0,3
"42\"" HDTV with Amazon Prime Video",3,0,3
"50\"" HDTV with premium cable",3,0,3
Surround sound system,3,0,0
Shampoo e Condicionador 2x1 Realgems - Capim Lim\u00e3o shampoo,3,0,3
Free residential garage on premises \u2013 6 spaces,3,0,3
LG sound system with Bluetooth and aux,3,0,2
samsung Bluetooth sound system,3,0,3
"42\"" HDTV with Chromecast",3,0,2
otel markas\u0131 shampoo,3,0,2
"36\"" HDTV",3,0,2
Children\u2019s books and toys for ages 2-5 years old and 5-10 years old,3,0,2
Shared outdoor infinity pool,3,0,3
Portable air conditioning,3,0,3
petite marseille or palmolive body soap,3,0,3
Dedicated workspace: table and office chair,3,0,2
Tommy Bahama conditioner,3,0,2
Chromecast,3,0,3
"60\"" HDTV with Netflix",3,0,3
"80\"" HDTV with Netflix",3,0,3
"58\"" HDTV with Netflix",3,0,3
Patio,3,0,0
cheap one shampoo,3,0,3
arcelik refrigerator,3,0,1
Paid parking garage on premises \u2013 ZAR66 per day,3,0,1
TEKA stainless steel gas stove,3,0,3
L'Occitane shampoo,3,0,1
LaBottega shampoo,3,0,0
Paid street parking off premises \u2013 EUR5 per day,3,0,2
Paid parking garage off premises \u2013 EUR30 per day,3,0,3
"40\"" HDTV with premium cable",3,0,3
Paid parking lot on premises,3,0,2
Wifi \u2013 1010 Mbps,3,0,3
Natural body soap,3,0,3
Paid parking lot off premises \u2013 BRL60 per day,3,0,3
HDTV,3,0,0
Rooftop,3,0,0
Paid parking garage off premises \u2013 $30 per day,3,0,3
"100\"" HDTV with Netflix",3,0,3
Shared indoor heated lap pool,3,0,1
"29\"" TV with standard cable",3,0,2
AESOP conditioner,3,0,2
Garnier Fructis conditioner,3,0,3
Molton Brown conditioner,3,0,2
"65\"" HDTV with Apple TV",3,0,3
ELECTROLUX refrigerator,3,0,2
Viking stainless steel gas stove,3,0,2
"47\"" HDTV",3,0,3
"32\"" TV",3,0,0
Smeg electric stove,3,0,2
damana body soap,3,0,0
"45\"" HDTV with Netflix",3,0,2
Westinghouse stainless steel gas stove,3,0,3
Francis body soap,3,0,3
Modjadji shampoo,3,0,3
Ariston stainless steel oven,3,0,3
Complimentary breakfast,3,0,0
Modjadji body soap,3,0,3
"48\"" HDTV with Netflix",3,0,3
Changing table,3,0,3
Tommy Bahama shampoo,3,0,2
Dove shampoo,3,0,3
Bose sound system,3,0,2
Cooked-to-order breakfast available \u2014 $15 per person per day,3,0,0
Telescope,3,0,0
elidor body soap,3,0,3
"65\"" HDTV with premium cable",3,0,2
Lavarino conditioner,3,0,3
bose Bluetooth sound system,3,0,3
Member Mark. Sams shampoo,3,0,3
Free washer\u2013In building,3,0,1
Shared outdoor infinity saltwater pool,3,0,3
Free residential garage on premises \u2013 3 spaces,3,0,2
Video Games,3,0,0
BEKO refrigerator,3,0,0
Complimentary continental breakfast,3,0,0
Bosch gas stove,3,0,2
"50\"" TV with Netflix",3,1,1
Fisher & Paykel stainless steel gas stove,3,0,2
Aro conditioner,3,0,3
Wifi \u2013 200 Mbps,3,0,3
100 spaces,3,0,2
SMEG electric stove,3,0,2
Alexa sound system with Bluetooth and aux,3,0,2
Pioneer sound system with aux,3,0,2
Sun bed,3,0,0
Shampoo e Condicionador 2x1 Realgems - Capim Lim\u00e3o conditioner,3,0,3
"50\"" HDTV with Chromecast",3,0,3
Paid street parking off premises \u2013 EUR10 per day,3,0,1
Shared heated pool,3,0,3
Woolworths body soap,3,0,3
Wifi \u2013 72 Mbps,3,0,3
LaBottega body soap,3,0,0
Central heating,3,0,1
whirlpool stainless steel oven,3,0,3
Modjadji conditioner,3,0,3
Shared outdoor rooftop pool,3,0,3
and dresser,3,0,3
Chef's kitchen,3,0,0
Private indoor pool,3,0,2
Paid parking lot on premises \u2013 TRY25 per day,3,0,3
Realgems - Capim Lim\u00e3o body soap,3,0,3
"24\"" HDTV",3,0,3
Pergola,3,0,0
Private gym,3,0,2
local conditioner,3,0,2
Teka stainless steel electric stove,3,0,3
cooktop gas stove,3,0,1
Savon de Marseille body soap,3,0,3
Outlet covers,3,0,1
Thankyou body soap,3,0,3
AESOP body soap,3,0,2
Paid parking off premises \u2013 EUR5 per day,3,0,3
Children\u2019s books and toys for ages 2-5 years old,3,0,3
"58\"" HDTV with Netflix",3,0,3
mabe refrigerator,3,0,2
BRASTEMP refrigerator,3,0,3
Ikea stainless steel oven,3,0,2
Lavarino body soap,3,0,3
Siemens stainless steel oven,3,0,2
Wifi \u2013 1 Mbps,3,0,3
Pert Plus shampoo,3,0,3
Bose Bluetooth sound system,3,0,3
pantene conditioner,3,0,1
"42\"" HDTV with Chromecast",3,0,3
Ikea refrigerator,3,0,3
Kelvinator refrigerator,3,0,3
Eletroclux refrigerator,3,0,3
siemens refrigerator,3,0,2
Free parking garage on premises \u2013 4 spaces,3,0,3
Thank You body soap,3,0,3
Walita oven,3,0,3
Aesop shampoo,3,0,3
Garnier shampoo,2,0,2
Clothing storage: closet and wardrobe,2,0,2
"30\"" HDTV",2,0,1
SIEMENS stainless steel oven,2,0,1
SONY sound system with Bluetooth and aux,2,0,2
Private hot tub,2,0,2
Tres Somme shampoo,2,0,2
"50\"" TV",2,0,1
Paid parking garage off premises \u2013 $50 per day,2,0,1
N\u00e3o h\u00e1 reposi\u00e7\u00e3o conditioner,2,0,2
Sanex body soap,2,0,1
"32\"" HDTV with Amazon Prime Video",2,0,2
Brastemp electric stove,2,0,1
AESOP shampoo,2,0,1
"40\"" HDTV with Chromecast",2,0,2
Juliet balcony,2,0,1
Electrolux stainless steel gas stove,2,0,1
Candy induction stove,2,0,2
"39\"" TV with Netflix",2,0,2
"48\"" HDTV with premium cable",2,0,2
Heated infinity pool,2,0,0
Wifi \u2013 31 Mbps,2,0,2
Hotpoint refrigerator,2,0,1
Self-parking \u2014 $35/day,2,0,0
Breakfast buffet available \u2014 \u20ac30 per person per day,2,0,0
grundig Bluetooth sound system,2,0,2
AFRICOLOGY body soap,2,0,1
Onsite restaurant \u2014 L'espace Club OKKO HOTELS,2,0,0
brastemp stainless steel oven,2,0,1
Paid street parking off premises \u2013 ZAR14 per hour,2,0,2
Molton Brown body soap,2,0,1
Free parking garage on premises \u2013 3 spaces,2,0,2
Teka stainless steel electric stove,2,0,2
Bosh stainless steel oven,2,0,1
Charlotte Rhys  body soap,2,0,0
bio body soap,2,0,1
2 bocas electric stove,2,0,0
Beach chairs,2,0,0
variadas body soap,2,0,2
no name body soap,2,0,2
AEG refrigerator,2,0,1
Defy stainless steel electric stove,2,0,2
Samsung oven,2,0,2
Ines de La Fressange body soap,2,0,2
Larisse shampoo,2,0,2
AEG stainless steel oven,2,0,2
HiSense refrigerator,2,0,1
Mosquito net,2,0,1
Hammam,2,0,0
It varies conditioner,2,0,2
Dedicated workspace: office chair and desk,2,0,1
Paid street parking off premises \u2013 AUD4 per hour,2,0,2
Spa access,2,0,0
Fridge Freezer refrigerator,2,0,2
GE stainless steel oven,2,0,1
Evyap conditioner,2,0,1
ADA COSMETICS body soap,2,0,2
Wifi \u2013 1024 Mbps,2,0,2
GE stainless steel electric stove,2,0,0
neutro  shampoo,2,0,2
TV with Amazon Prime Video,2,0,2
pantene shampoo,2,0,0
smeg gas stove,2,0,2
local body soap,2,0,1
JukeBox Bluetooth sound system,2,0,2
Walk in closet,2,0,0
Paid street parking off premises \u2013 EUR4 per day,2,0,2
TV with premium cable,2,0,1
Hotel conditioner,2,0,1
lg refrigerator,2,0,1
Sonos sound system with aux,2,0,2
"43\"" TV with Netflix",2,0,1
L'OCCITANE conditioner,2,0,2
AFRICOLOGY conditioner,2,0,1
Various shampoo,2,0,2
"50\"" HDTV with Chromecast",2,0,1
Beko refrigerator,2,0,2
Generator,2,0,2
Lockbox,2,1,1
"55\"" HDTV with Apple TV",2,0,2
itimati stainless steel oven,2,0,2
Paid parking lot on premises \u2013 1 space,2,0,1
Wifi \u2013 50 Mbps,2,0,1
Boots conditioner,2,0,2
LOREAL conditioner,2,0,2
Paid parking lot on premises \u2013 5 spaces,2,0,2
Wifi \u2013 267 Mbps,2,0,2
"49\"" HDTV with Amazon Prime Video",2,0,1
Ice machine,2,0,0
Libre conditioner,2,0,2
Candy refrigerator,2,0,2
Phillips refrigerator,2,0,2
Paid parking lot on premises \u2013 EUR25 per day,2,0,0
02 Bocas electric stove,2,0,0
"28\"" HDTV",2,0,2
Paid parking lot on premises \u2013 BRL60 per day,2,0,2
"60\"" HDTV with Amazon Prime Video",2,0,1
Clothing storage: wardrobe,2,0,1
Harmon Kardon Bluetooth sound system,2,0,2
Ariston refrigerator,2,0,2
Wifi \u2013 12 Mbps,2,0,1
Mini oven,2,0,1
Savon de marseille body soap,2,0,2
Mitsubishi refrigerator,2,0,1
AEG oven,2,0,2
bass Bluetooth sound system,2,0,0
Wifi \u2013 32 Mbps,2,0,2
Pineda Covalin body soap,2,0,1
siemens stainless steel oven,2,0,2
Paid parking garage on premises \u2013 EUR20 per day,2,0,2
Panasonic refrigerator,2,0,0
Miele electric stove,2,0,2
Palmolive conditioner,2,0,2
VO5 conditioner,2,0,2
Efes refrigerator,2,0,2
bose sound system,2,0,0
Wifi \u2013 600 Mbps,2,0,0
Stainless steel oven,2,0,2
Sony Bluetooth sound system,2,0,1
BOSCH stainless steel oven,2,0,1
Liebherr refrigerator,2,0,2
"48\"" HDTV with Amazon Prime Video",2,0,2
Paid valet parking on premises \u2013 4 spaces,2,0,2
Yves Rocher,2,0,2
"43\"" HDTV with premium cable",2,0,2
Free parking on premises \u2013 5 spaces,2,0,1
Foosball table,2,0,0
"82\"" HDTV with Netflix",2,0,1
Turndown service,2,0,0
SONOS Bluetooth sound system,2,0,1
smeg stainless steel stove,2,0,1
Proline refrigerator,2,0,2
Diverso conditioner,2,0,1
"30\"" TV with standard cable",2,0,2
Game console: PS3,2,0,1
A partager refrigerator,2,0,0
"45\"" HDTV with Netflix",2,0,2
eletrolux refrigerator,2,0,0
HDTV with HBO Max,2,0,1
"28\"" TV with Netflix",2,0,2
Wolf stainless steel gas stove,2,0,2
Clothing storage: dresser and walk-in closet,2,0,2
Wolf oven,2,0,0
Amenidad peque\u00f1a por estancia shampoo,2,0,0
Blomberg refrigerator,2,0,2
DENON Bluetooth sound system,2,0,1
Library,2,0,0
eletrolux stainless steel gas stove,2,0,1
ariston refrigerator,2,0,2
Teka induction stove,2,0,1
Body wash body soap,2,0,2
Paid parking garage off premises \u2013 EUR27 per day,2,0,2
PRIJA body soap,2,0,2
N\u00e3o h\u00e1 reposi\u00e7\u00e3o body soap,2,0,2
Paid parking lot off premises \u2013 EUR3 per day,2,0,1
Viking stainless steel oven,2,0,2
ar\u00e7elik oven,2,0,0
Onsite restaurant \u2014 CanteenM-open 24/7,2,0,0
"32\"" HDTV with standard cable",2,0,1
Paid parking lot on premises \u2013 EUR5 per day,2,0,2
Healing Earth body soap,2,0,1
Smeg stainless steel stove,2,0,2
"40\"" HDTV with Amazon Prime Video",2,0,2
smeg oven,2,0,2
Beko refrigerator,2,0,1
"42\"" TV with Netflix",2,0,2
Granado shampoo,2,0,1
Tres Somme conditioner,2,0,2
Wifi \u2013 10 Mbps,2,0,1
Large Toaster Oven oven,2,0,2
Brastemp oven,2,0,0
loreal conditioner,2,0,1
Minist\u00e9rio do Desenvolvimento Agr\u00e1rio e SEBRAE.  body soap,2,0,2
Thomson refrigerator,2,0,1
Just Lynne body soap,2,0,2
Organics  conditioner,2,0,2
Various body soap,2,0,2
Paid street parking off premises \u2013 TRY30 per day,2,0,0
GE stove,2,0,2
and desk,2,0,1
Natural soap conditioner,2,0,1
Miss Lynn body soap,2,0,2
Zeytuni (Olive Oil) shampoo,2,0,2
Ines de la Fressange conditioner,2,0,2
Wifi available for a fee,2,0,0
Organic neutral body soap,2,0,2
Teka stainless steel oven,2,0,2
"101\"" HDTV with Netflix",2,0,2
Johnson's conditioner,2,0,2
variadas conditioner,2,0,2
Private outdoor heated saltwater pool,2,0,2
p&g or unilever products body soap,2,0,2
"48\"" HDTV with Netflix",2,0,2
Wifi \u2013 48 Mbps,2,0,2
Dishes and silverware,2,0,2
S/M shampoo,2,0,2
Ind\u00e9sit refrigerator,2,0,2
"32\"" HDTV with Chromecast",2,0,2
Heat lamps,2,0,0
Harman Kardon sound system with aux,2,0,2
ariston stainless steel gas stove,2,0,2
Wifi \u2013 10 Mbps,2,0,2
Paid parking garage on premises \u2013 EUR30 per day,2,0,1
BOSCH stainless steel gas stove,2,0,1
Paid street parking off premises \u2013 BRL2 per hour,2,0,1
"39\"" HDTV with standard cable",2,0,1
Organic shampoo,2,0,1
Cooktop 2 bocas gas stove,2,0,1
"46\"" HDTV",2,0,0
"40\"" HDTV with Netflix",2,0,1
Natura body soap,2,0,1
generico body soap,2,0,1
Paid street parking off premises \u2013 BRL10 per day,2,0,2
and monitor,2,0,2
rosiere stainless steel oven,2,0,2
"49\"" HDTV",2,0,2
Suave conditioner,2,0,2
WHIRLPOOL refrigerator,2,0,2
Outdoor parking,2,0,0
Paid parking garage off premises \u2013 $4 per day,2,0,0
Paid parking lot off premises \u2013 TRY25 per day,2,0,2
TV with Roku,2,0,2
"54\"" HDTV",2,0,2
BOSCH oven,2,0,1
"100\"" HDTV with Amazon Prime Video",2,1,0
DOVE body soap,2,0,2
rebul body soap,2,0,0
MIELE refrigerator,2,0,2
LIEBHERR refrigerator,2,0,2
Phone,2,0,0
GE oven,2,0,2
TEKA gas stove,2,0,2
Ice machine,2,0,0
Minist\u00e9rio do Desenvolvimento Agr\u00e1rio e SEBRAE.  conditioner,2,0,2
p&g or unilever products or equivalent conditioner,2,0,2
Haier refrigerator,2,0,2
Building staff,2,0,1
Free parking on premises \u2013 1 space,2,0,2
SMEG stainless steel electric stove,2,0,2
Portable heater,2,0,2
Green Tea,2,0,2
Moonhaven body soap,2,0,2
no name conditioner,2,0,2
Private outdoor lap pool,2,0,2
Paid parking lot on premises \u2013 BRL70 per day,2,0,2
westinghouse refrigerator,2,0,1
Paid parking garage on premises \u2013 680 spaces,2,0,2
consul stainless steel oven,2,0,1
Paid valet parking on premises \u2013 $25 per day,2,0,2
Johnson's body soap,2,0,2
Outdoor seating,2,0,0
"55\"" HDTV with Chromecast",2,0,0
Produits John Frieda,2,0,2
N\u00e3o h\u00e1 reposi\u00e7\u00e3o shampoo,2,0,2
Surround sound system,2,0,0
Miss Lyn body soap,2,0,2
Paid parking garage off premises \u2013 $48 per day,2,0,0
Consul oven,2,0,2
HDTV with Roku,2,0,2
Fridge & Freezer refrigerator,2,0,1
Outdoor kitchen,2,0,0
Le petit Marseillais body soap,2,0,2
Minist\u00e9rio do Desenvolvimento Agr\u00e1rio e SEBRAE.  shampoo,2,0,2
Dining area for 4 people,2,0,0
Sonos  Bluetooth sound system,2,0,2
Smeg stove,2,0,1
Sharp refrigerator,2,0,1
Printer,2,0,0
Granado conditioner,2,0,1
Shared outdoor infinity rooftop pool,2,0,2
bose sound system with Bluetooth and aux,2,0,2
pantene body soap,2,0,0
Samsung  refrigerator,2,0,1
Private garden or backyard,2,0,1
Paid parking garage off premises \u2013 EUR5 per day,2,0,2
Eletrolux stainless steel oven,2,0,2
Defy electric stove,2,0,1
First aid kit,2,0,0
Google Home Bluetooth sound system,2,0,1
Leibherr refrigerator,2,0,2
Elidor body soap,2,0,1
Valet parking available for a fee,2,0,0
Head and shoulders  shampoo,2,0,2
L'OCCITANE shampoo,2,0,2
SMEG induction stove,2,0,2
Gym in building,2,0,2
elidor or pantene conditioner,2,0,2
Vegan S\u0131v\u0131 Sabun body soap,2,0,1
Polaroid sound system with Bluetooth and aux,2,0,2
Espresso machine,2,0,0
Whirlpool  stainless steel gas stove,2,0,2
Johnson's shampoo,2,0,2
Hospitality products from Linon body soap,2,0,2
Valet parking \u2014 $75/day,2,0,0
kit b\u00e1sico,2,0,2
Various conditioner,2,0,2
Whirlpool for Ikea refrigerator,2,0,2
C\u00f4nsul stainless steel oven,2,0,2
bosch stainless steel oven,2,0,2
Arcelik refrigerator,2,1,1
LG sound system with aux,2,0,2
rebul conditioner,2,0,0
Fenced garden or backyard,2,0,1
Pineda Covalin conditioner,2,0,1
Palmolive body soap,2,0,2
Free parking on premises,2,0,0
"32\"" HDTV with Netflix",2,0,2
Lavarino shampoo,2,0,2
Self-parking \u2014 \u20ac25/day,2,0,0
Pioneer Bluetooth sound system,2,0,2
neutro body soap,2,0,2
Cooktop gas stove,2,0,1
Rooftop pool \u2014 outdoor,2,0,0
Evyap body soap,2,0,2
En question d'\u00e9cologie nous ne mettons pas \u00e0 disposition. Si vous nous demandez,2,0,2
Paid parking lot off premises \u2013 BRL40 per day,2,0,2
Siemens refrigerator,2,0,2
Ariston stainless steel gas stove,2,0,2
FRIGIDAIRE refrigerator,2,0,1
Shared garden or backyard,2,0,2
Biodegradable,2,0,2
DEFY electric stove,2,0,2
"50\"" HDTV with premium cable",2,0,2
Diversas body soap,2,0,2
Smeg stainless steel induction stove,2,0,2
Elidor conditioner,2,0,0
various body soap,2,0,2
Minibar,2,0,0
electric oven,2,0,2
Baby bath,2,0,1
"42\"" HDTV with premium cable",2,0,2
Paid parking garage off premises \u2013 EUR20 per day,2,0,1
smeg electric stove,2,0,2
La Petite body soap,2,0,2
Bicycle,2,0,1
general elektrik refrigerator,2,0,0
"70\"" HDTV with Amazon Prime Video",2,0,2
Electric oven oven,2,0,1
La petite body soap,2,0,2
Day bed,2,0,0
CLASSIQUE shampoo,2,0,2
Indesit refrigerator,2,0,2
Paid street parking off premises \u2013 BRL2 per day,2,0,2
brastemp stainless steel gas stove,2,0,1
L'OCCITANE body soap,2,0,2
Breakfast buffet available for a fee,2,0,0
"32\"" HDTV with Chromecast",2,0,2
"24\"" HDTV with Netflix",2,0,1
Wifi \u2013 2 Mbps,2,0,2
v\u00fccut sabunu body soap,2,0,2
Sun deck,2,0,0
Sunsilk shampoo,2,0,2
"42\"" HDTV with Netflix",2,0,2
Private fenced garden or backyard,2,0,2
Paid parking garage off premises \u2013 EUR15 per day,2,0,2
JBL Bluetooth sound system,2,0,0
various conditioner,2,0,2
Heated pool,2,0,0
Marantz sound system,2,0,2
Brastemp Retr\u00f4 refrigerator,2,0,2
Larisse conditioner,2,0,2
Saltwater pool,2,0,0
Paid parking lot on premises \u2013 1 space,2,0,1
TV with standard cable,2,0,2
Limited housekeeping \u2014 on request,2,0,0
Continental breakfast available \u2014 $10 per person per day,2,0,0
Onsite bar \u2014 L'espace Club OKKO HOTELS,2,0,0
Wifi \u2013 250 Mbps,2,0,2
elseve conditioner,2,0,2
"70\"" HDTV with Netflix",2,0,2
Panthene conditioner,2,0,2
Marley Bluetooth sound system,2,0,1
Wifi \u2013 120 Mbps,2,0,2
Paid parking garage off premises \u2013 EUR3 per day,2,0,2
"32\"" HDTV with premium cable",2,0,2
neutro  body soap,2,0,2
MABE oven,2,0,1
Local body soap,2,0,2
IKEA oven,2,0,2
Le Petit Marseillais shampoo,2,0,2
Pioneer sound system with Bluetooth and aux,2,0,2
Dedicated workspace,2,0,0
smeg stainless steel gas stove,2,0,2
Bang & Olufsen Bluetooth sound system,2,0,1
induzione induction stove,2,0,0
"32\"" TV with Netflix",2,0,1
Complimentary hot breakfast,2,0,0
"40\"" TV with Netflix",2,0,2
Courtyard,2,0,0
Neutral body soap,2,0,2
itimat stainless steel oven,2,0,2
Frette linens,2,0,0
Organic Care conditioner,2,0,2
Game console: Xbox One,2,0,1
Room service,2,0,0
"81\"" TV with standard cable",2,0,2
ELETROLUX refrigerator,2,0,1
Toaster,2,0,1
Stainless steel stove,2,0,1
smeg stainless steel electric stove,2,0,1
Amika conditioner,1,0,0
proline refrigerator,1,0,1
Ar\u00e7elik electric stove,1,0,1
"28\"" TV with Chromecast",1,0,1
mission speakers sound system with aux,1,0,1
AEG stainless steel gas stove,1,0,1
in the communal kitchen oven,1,0,1
Paid parking lot off premises \u2013 $50 per hour,1,0,0
Mrs. Meyers body soap,1,0,1
Cabasse sound system with aux,1,0,1
Geneva Guild toiletries,1,0,0
Onsite restaurant \u2014 Condimento,1,0,0
Smart home technology,1,0,0
cooktop,1,0,0
Defy,1,0,0
Ar\u00e7elik gas stove,1,0,1
DOVE OU N\u00cdVEA ( NOVOS ) body soap,1,0,1
bosch refrigerator,1,0,1
"42\"" HDTV",1,0,1
"27\"" HDTV",1,0,1
buklet body soap,1,0,0
DS & Durga conditioner,1,0,0
CONSUL 240 litros com congelador interno refrigerator,1,0,1
Paid parking garage off premises \u2013 EUR16 per day,1,0,1
\u00c1rgan oil of Morocco shampoo,1,0,1
Vulcan stove,1,0,1
"33\"" TV",1,0,1
GRANADO body soap,1,0,0
Electrolux  stainless steel gas stove,1,0,1
ONKYO sound system,1,0,1
Paid parking garage on premises \u2013 EUR10 per day,1,0,1
Paid parking garage on premises \u2013 5 spaces,1,0,1
Micro ondas oven,1,0,1
Sonos (Beam + Sub) Bluetooth sound system,1,0,1
Wolf stainless steel oven,1,0,1
Blomberg stainless steel gas stove,1,0,1
LG CM3430W CD Micro Audio Player with built-in WiFi & Subwoofer,1,0,1
Consul Duplex Frost Free refrigerator,1,0,1
Tivoli Audio Bluetooth sound system,1,0,1
Technika single burner electric stove,1,0,1
AESOPS body soap,1,0,1
GE Profile stainless steel gas stove,1,0,1
no es una cocina profesional,1,0,1
"23\"" TV with Netflix",1,0,1
"48\"" HDTV with standard cable",1,0,1
